" But cart has some errors.","Il carrello ha alcuni errori."
"""""id"""" attribute is required for a """"%s"""" field.","L\'attributo """"id""""  è obbligatorio per il campo """"%s""""."
"""""line_count"""" attribute is required for """"multiline"""" element.","L\'attributo """"line_count""""  è obbligatorio per l\'elemento """"multiline""""."
"""""message"""" attribute is required for """"%s"""" validator rule.","L\'attributo """"message"""" è obbligatorio per la regola di validazione """"%s""""."
"""Title"" is more than %d characters long","""Title"" ha più di %d caratteri"
"“”Description”” is more than %d characters long","“”Descrizione”” è più lunga di %d caratteri"
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(Include più paesi rispetto a quelli elencati di seguito. Come proprietario dell\'applicazione, sei tenuto a rispettare le leggi specifiche del tuo paese relative alla distribuzione o alla vendita della tua applicazione per quel paese, compreso il tuo paese di origine. "
"*Subject to change","*Soggetto da cambiare"
"\'%s\' exceeds the allowed file size: %d (bytes)","\'%s\' supera la dimensione massima permessa: %d (bytes)"
"\'%s\' height exceeds allowed value of %d px","\'%s\' altezza supera il valore permesso di %d px"
"\'%s\' is not a valid file extension. Allowed extensions: %s","\'%s\' non è una estensione valida. Estensioni permesse: %s"
"\'%s\' width exceeds allowed value of %d px","\'%s\' supera il valore permesso di %d px"
"%1$s has been added to your wishlist.","%1$s è stato aggiunto alla Wishlist."
"%1$s incl tax.","%1$s tasse incluse."
"%s API Key required.","%s chiave API richiesta."
"%s Application ID required.","%s ID applicazione richiesto."
"%s attribute is required.","L\'attributo %s è obbligatorio."
"%s has been added to your cart.","%s è stato aggiunto al carrello."
"%s Secret Key required.","%s chiave segreta richiesta."
"<a href=""""%s"""" target=""""_blank"""">Login</a> to Urabn Airship.","<a href=""""%s"""" target=""""_blank"""">Login</a> to Urabn Airship."
"10:40 AM","10:40 AM"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","Il solo catalogo applicazione non sopporta funzioni come aggiungi al carrello, wishlist o accedi."
"A new password has been sent.","Una nuova password è stata inviata"
"Account","Account"
"Account confirmation is required. Please check your email for the confirmation link. ","È richiesta la conferma dell\'account. Controlla la tua email per il link di conferma."
"Account information has been saved.","Le informazioni dell\'account sono state salvate."
"Action","Azione"
"Activate","Attiva"
"Activate PayPal Checkout","Attiva pagamento PayPal"
"Activate PayPal MECL","Attiva PayPal MECL"
"Activation Key","Codice di attivazione"
"Add App","Aggiungi applicazione"
"Add New Template","Aggiungi nuovo Template"
"Add Page","Aggiungi pagina"
"Add to Cart","Aggiungi al carrello"
"Add to Wishlist","Aggiungi alla Wishlist"
"Additional Address","Indirizzi aggiuntivi"
"Address","Indirizzo"
"Address 2","Indirizzo 2"
"Address data not specified.","Campo Indirizzo non specificato."
"Address does not belong to this customer.","L\'indirizzo non appartiene a questo cliente."
"Address has been deleted.","L\'indirizzo è stato cancellato."
"Address has been saved.","L\'indirizzo è stato salvato."
"Administrative contact for this app and for app submission issues.","Contatto amministrativo per questa applicazione e per presentazione applicazione."
"Advanced Settings","Impostazioni avanzate."
"After submitting the App to Magento, please contact <a href=""""mailto:%1$s"""">%1$s</a> to receive the Application Key, Application Secret and Application Master Secret.","Dopo aver imesso l\'app in Magento, per favore contatta <a href=""""mailto:%1$s"""">%1$s</a> per ricevere la Chiave Applicazione, il Segreto Applicazione e il Segreto Maestro Applicazione"
"AirMail message","AirMail messaggi"
"AirMail Message Queue","Messaggio AirMail in coda   "
"AirMail Messages Queue","Coda messaggi AirMail "
"AirMail Template Preview","AirMail Template anteprima"
"AirMail templates","AirMail templates"
"All Allowed Countries","Tutti i paesi permessi"
"All locations","Tutte le località"
"An account with this email address already exists.","Esiste già un account con questa email."
"An error occurred while adding item to wishlist.","Errore riscontrato nell\'aggiunta dell\'oggetto alla wishlist."
"An error occurred while deleting the address.","Errore riscontrato nella rimozione dell\'indirizzo."
"An error occurred while loading categories.","Errore riscontrato nel caricamento delle categorie"
"An error occurred while loading category filters.","Errore riscontrato nel caricamento dei filtro categorie."
"An error occurred while loading wishlist.","Errore riscontrato nel caricamento della wishlist"
"An error occurred while processing your order. Please contact us or try again later.","Errore riscontrato nella presa in carico dell\'ordine. Contattaci o riprova più tardi."
"An error occurred while processing your request.","Errore riscontrato nella presa in carico della tua richiesta."
"An error occurred while removing item from wishlist.","Errore riscontrato nella rimozione dell\'oggetto dalla wishlist."
"An error occurred while removing items from wishlist.","Errore riscontrato nella rimozione degli oggetti dalla wishlist."
"Analytics","Analytics"
"and","e"
"Android","Android"
"Android doesn\'t support AirMail message type.","Android non supporta il tipo di messaggio AirMail"
"App Background","Sfondo App "
"App Background (landscape mode)","Sfondo App (modalità paesaggio)"
"App Background (portrait mode)","Sfondo App (modalità ritratto)"
"App Background <br />(landscape mode)","Sfondo App <br />(modalità paesaggio)"
"App Background <br />(portrait mode)","Sfondo app <br />(modalità ritratto)"
"App Background image missing.","Immagine di sfondo app persa."
"App Code","Codice App"
"App code required.","Codice App richiesto."
"App does not exist.","App non esistente."
"App has been deleted.","App è stato cancellato."
"App has been saved.","App è stato salvato."
"App has been submitted.","App è stato inviato."
